page_len,page_tag_num,page_tech_num,page_domain_type_num,page_like_req_domain_num,page_unlike_req_domain_num,page_hidden_tag_num,page_have_copyright,page_have_redirect
904156,4966,4,376,365,11,235,1,0
499990,2640,9,613,360,253,18,1,0
54239,599,6,137,131,6,5,1,0
145092,136,0,8,6,2,0,1,0
137880,670,5,75,58,17,0,0,0
151604,1227,7,67,67,0,10,0,0
153359,1284,9,234,161,73,21,0,0
106349,934,1,41,36,5,4,1,0
210453,277,0,18,9,9,0,1,0
687888,2173,2,494,10,484,15,1,0
208406,277,0,18,9,9,0,1,0
283186,1165,2,284,284,0,10,1,0
59462,358,3,33,24,9,14,1,0
9685,156,0,15,1,14,1,1,0
5843,124,1,10,10,0,1,1,0
563660,2234,5,367,340,27,25,1,0
147200,1172,3,310,260,50,2,1,0
208512,277,0,18,10,8,0,1,0
0,0,0,0,0,0,0,0,0
32042,343,0,105,101,4,0,0,0
58984,561,3,55,53,2,0,1,0
1029354,4200,8,635,628,7,14,1,0
142723,2574,2,505,502,3,1,1,0
513279,2641,5,361,284,77,2,1,0
425781,1102,1,280,190,90,11,1,0
78953,113,2,11,6,5,2,0,0
462307,1254,4,246,228,18,20,1,0
123828,818,11,128,101,27,2,0,0
204843,278,0,18,9,9,0,1,0
166546,773,2,247,230,17,7,1,0
64645,365,0,115,114,1,0,1,0
0,0,0,0,0,0,0,0,0
215893,1860,5,211,208,3,8,1,0
462164,1330,4,209,59,150,5,1,0
115239,1135,6,303,299,4,9,1,0
0,0,0,0,0,0,0,0,0
499684,2529,6,361,339,22,8,1,0
399110,307,7,2,2,0,11,1,0
44163,696,2,162,150,12,1,1,0
123034,1145,3,124,28,96,9,0,0
24184,235,3,23,18,5,5,0,0
128382,2185,3,689,655,34,12,1,0
15444,106,1,16,12,4,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
208499,277,0,18,13,5,0,1,0
456205,1926,10,447,350,97,13,1,0
520039,2566,5,226,149,77,1,1,0
180019,960,2,161,144,17,15,1,0
113924,840,4,87,53,34,0,1,0
76940,1024,3,6,0,6,2,0,0
63354,238,0,46,25,21,0,1,1
109079,391,0,46,40,6,1,1,1
453143,2115,7,526,452,74,5,1,0
453142,2115,7,526,452,74,5,1,0
73327,791,2,160,145,15,8,1,0
621735,954,5,103,43,60,18,1,0
956308,644,3,70,57,13,4,1,0
210383,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
589359,1953,1,160,152,8,1,1,1
264029,122,1,8,5,3,0,1,1
61871,939,0,220,204,16,6,1,0
0,0,0,0,0,0,0,0,0
235720,969,5,263,240,23,59,1,0
208402,277,0,18,10,8,0,1,0
195367,1509,9,316,193,123,8,1,0
64690,186,10,6,3,3,2,0,0
232719,1178,2,226,219,7,0,0,0
929765,2941,6,525,490,35,19,1,0
0,0,0,0,0,0,0,0,0
513334,2555,9,456,412,44,18,1,0
211819,87,0,0,0,0,1,1,0
344919,1853,6,189,173,16,12,1,0
69168,320,6,16,12,4,4,1,0
581173,3446,4,239,212,27,168,1,0
3300328,34834,10,3526,2515,1011,30,1,0
47110,132,8,3,0,3,0,1,0
134355,1269,7,220,74,146,20,1,0
341597,2777,4,714,704,10,34,1,0
126528,463,4,69,60,9,9,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
22659,41,0,2,1,1,0,1,0
539562,2412,6,294,256,38,15,0,0
106644,1942,2,86,0,86,24,1,0
208992,277,0,18,10,8,0,1,0
209222,276,0,17,9,8,0,1,0
140899,205,1,0,0,0,2,1,1
137596,156,1,0,0,0,2,1,1
285576,1797,5,427,392,35,11,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1084844,5637,3,255,247,8,3,1,0
808139,3776,3,75,65,10,2,1,0
106294,1342,1,429,227,202,1,0,0
0,0,0,0,0,0,0,0,0
23852,289,3,61,52,9,1,1,0
40472,432,1,9,9,0,9,0,0
11604,89,1,0,0,0,2,0,0
233746,1334,2,105,81,24,0,1,0
5581,29,1,0,0,0,0,0,0
231048,893,3,148,138,10,43,1,0
243825,943,3,115,105,10,40,1,0
682743,3813,3,192,168,24,286,0,0
45378,117,2,7,7,0,0,0,0
296729,1333,5,201,183,18,3,1,1
161382,281,3,10,9,1,0,0,1
234968,1815,6,279,267,12,24,1,0
186763,193,6,2,2,0,3,0,0
0,0,0,0,0,0,0,0,0
19178,93,3,9,7,2,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
822067,1614,7,159,143,16,16,1,0
0,0,0,0,0,0,0,0,0
6547,117,0,28,27,1,0,0,0
399789,1043,3,206,190,16,9,1,0
241869,1623,4,326,129,197,7,1,0
4373804,3980,8,708,651,57,43,1,0
2545960,582,3,41,23,18,49,1,0
146907,858,6,213,201,12,7,1,0
0,0,0,0,0,0,0,0,0
74320,410,2,64,62,2,3,1,0
433480,1448,8,544,522,22,23,1,0
331367,2722,5,436,396,40,46,0,0
93744,275,0,47,24,23,0,1,1
1079711,1513,4,122,69,53,52,1,0
111170,517,3,105,74,31,7,1,0
132333,308,2,62,42,20,3,1,0
168709,170,0,73,52,21,0,1,0
9038,154,0,15,7,8,0,1,0
5843,124,1,10,10,0,1,1,0
319383,1960,6,283,258,25,3,1,0
311830,1983,8,239,208,31,4,1,0
0,0,0,0,0,0,0,0,0
16174,64,1,5,1,4,0,0,0
792352,5681,1,1275,1001,274,15,1,0
163499,332,1,73,24,49,0,1,0
1131047,4681,17,345,289,56,1,1,0
310718,1676,1,323,318,5,4,1,0
163499,332,1,73,24,49,0,1,0
136574,2929,1,1040,1040,0,70,1,0
16334,306,1,40,39,1,9,0,0
1640312,2350,8,260,226,34,20,1,0
0,0,0,0,0,0,0,0,0
478853,2532,2,753,134,619,6,1,1
139830,221,2,25,19,6,6,1,0
0,0,0,0,0,0,0,0,0
1554601,1231,4,205,198,7,4,1,0
466581,98,0,5,5,0,0,1,0
115232,568,2,82,75,7,24,1,0
331918,2923,10,812,803,9,16,1,0
553869,2379,4,210,199,11,5,1,0
346294,1096,4,58,52,6,7,0,0
292500,1021,3,60,58,2,1,0,0
117584,215,2,13,12,1,1,0,0
1615055,4310,5,273,266,7,0,1,0
0,0,0,0,0,0,0,0,0
50919,452,3,112,85,27,3,1,0
126156,1036,4,140,123,17,3,1,0
44841,190,2,7,6,1,1,0,0
388204,1164,3,107,98,9,6,1,0
136223,323,2,19,19,0,1,0,0
832492,2896,2,401,383,18,16,1,0
451498,2377,9,572,456,116,1,1,0
203299,321,6,33,30,3,4,1,0
1379864,8088,2,672,604,68,250,0,0
1757151,4592,8,632,527,105,7,0,0
208510,277,0,18,9,9,0,1,0
372665,1346,1,252,210,42,10,1,0
35369,341,0,6,4,2,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
698018,760,8,93,81,12,12,1,0
181575,848,4,116,74,42,3,1,0
10862,99,2,17,14,3,3,1,0
191803,1369,7,266,253,13,49,1,0
699405,5367,9,271,259,12,53,1,0
0,0,0,0,0,0,0,0,0
367002,1537,11,340,291,49,19,1,0
210112,277,0,18,9,9,0,1,0
210347,277,0,18,9,9,0,1,0
589872,2049,2,403,328,75,5,1,0
25538,186,0,21,8,13,2,1,0
0,0,0,0,0,0,0,0,0
436284,2172,1,248,227,21,39,0,0
46585,202,5,11,11,0,4,0,0
181482,1617,3,185,8,177,1,1,0
652203,3523,7,206,187,19,5,1,0
208839,1172,2,96,79,17,1,0,0
220792,1525,5,401,377,24,12,1,0
300791,1288,5,51,51,0,11,1,0
29340,442,3,52,44,8,1,1,0
4557,45,1,6,6,0,0,0,0
82994,500,0,65,58,7,0,1,0
84148,384,0,33,30,3,0,1,0
336172,1255,3,168,144,24,8,1,0
188437,2614,6,358,292,66,16,1,0
840008,2300,4,382,379,3,18,1,0
1243597,1632,7,371,358,13,12,1,0
8366531,764,6,35,24,11,1,1,0
500652,4328,8,1244,1238,6,22,1,0
1315113,1187,2,161,136,25,4,1,0
15362,145,0,35,31,4,2,1,0
251252,762,5,43,42,1,3,1,0
83155,197,2,18,18,0,0,1,0
71931,707,4,124,117,7,13,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
482225,294,0,18,9,9,1,1,0
150053,1679,7,383,376,7,9,1,0
313431,1466,6,187,180,7,4,1,0
126929,396,10,60,60,0,3,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
637260,1693,3,100,96,4,1,0,0
22918,40,0,1,1,0,0,1,0
256924,2704,3,1032,925,107,13,0,0
0,0,0,0,0,0,0,0,0
361023,1539,8,195,189,6,19,0,0
79871,107,0,15,12,3,2,1,0
212671,886,4,73,49,24,1,1,0
817596,2572,1,497,479,18,2,1,0
175605,1170,5,244,224,20,7,1,0
177279,1122,6,300,288,12,22,1,0
89955,731,1,313,312,1,0,0,0
793052,2707,3,615,564,51,6,1,0
465430,154,5,9,6,3,6,1,0
261037,1853,3,288,248,40,0,0,0
8971,100,0,6,6,0,0,0,0
789100,3357,3,473,464,9,12,1,0
130751,199,1,9,7,2,0,0,0
24724,137,4,10,10,0,2,1,0
391508,2328,5,441,296,145,17,1,0
21961,158,1,6,4,2,1,0,0
2012771,3474,7,514,406,108,20,1,0
324513,3249,5,732,716,16,1,1,0
767,5,0,0,0,0,0,0,0
246576,1362,6,137,116,21,13,1,0
124431,1107,5,229,216,13,5,1,1
663900,4942,5,846,777,69,4,0,0
295110,899,5,70,28,42,12,1,0
111170,463,5,32,29,3,0,1,0
212010,2010,4,237,228,9,30,1,0
36661,429,0,106,26,80,5,1,0
72530,739,2,85,83,2,4,1,0
253258,1802,8,304,273,31,5,1,1
73671,389,0,43,39,4,0,1,1
353566,2454,2,127,121,6,1,0,0
494244,389,3,32,29,3,1,1,0
249523,1737,4,252,216,36,2,0,0
